location,percentage_delayed,warehouse_status
RepalleHub_RPL,0.00,Ignore
"RepalleHub_RPL Repalle",0.00,Ignore
"Reva Supar Mart PORBANDAR",0.00,Ignore
Rewa,0.00,Ignore
"Rewa MP, Rewa, MADHYA PRADESH",0.00,Ignore
RewaHub_RWA,0.00,Ignore
"RewaHub_RWA Rewa",0.00,Ignore
Rewalsar,0.00,Ignore
"RewalsarMDH_REW Rewalsar",0.00,Ignore
"Rewarathera, Rewa, MADHYA PRADESH",0.00,Ignore
"Rewari Hub",0.00,Ignore
"Rewari Hub Rewari",0.00,Ignore
"Rewari Stn",0.00,Ignore
"Rewari, HARYANA, IN",0.00,Ignore
"Rewari, Rewari, HARYANA",0.00,Ignore
RewariMDH_REW,0.00,Ignore
"RewariMDH_REW Rewari Stn",0.00,Ignore
"RFK BIKASH LOGISTICK DEOGHAR",0.00,Ignore
"RIAR TAILOR NEW DELHI",0.00,Ignore
"RIDDHI ENTERPRISE MODASA",0.00,Ignore
"Rihand Nagar, RIHAND NAGAR, UTTAR PRADESH",0.00,Ignore
"RIICO INDUSTRIAL AREA NEEMRANA, RAJASTHAN, IN",0.00,Ignore
RingRoadHub_DED,0.00,Ignore
"RingRoadHub_DED Dehradun",0.00,Ignore
"Ringus, Ringus, RAJASTHAN",0.00,Ignore
"Rinto Yacob Home ERNAKULAM",0.00,Ignore
"Rishabh kirana shop NEW DELHI",0.00,Ignore
"Rishi RFK kirana store WYRA",0.00,Ignore
RISHIKESH,0.00,Ignore
"Rishikesh, Uttarakhand, IN",0.00,Ignore
"RishikeshHub_HRD Haridwar / Rishikesh",0.00,Ignore
"Rising Stars DVK NALGONDA",0.00,Ignore
"Ritesh Store GURGAON",0.00,Ignore
"RITIKA  MANGESH JADHAV PUNE",0.00,Ignore
"RITUPON SAIKIA BOKAKHAT",0.00,Ignore
"RJK HUB",0.00,Ignore
"RJK WAREHOUSE",0.00,Ignore
RJKM,0.00,Ignore
"RJM/HUB, Rajahmundry, ANDHRA PRADESH",0.00,Ignore
"RJSCAbhayapuriODH_BGG Abhayapuri",0.00,Ignore
"RJSCDimapurODH_DPR Dimapur",0.00,Ignore
"RJSCItanagarSplitODH_ITO Itanagar",0.00,Ignore
"RJSCJalpaiguriODH_JPG MAYNAGURI",0.00,Ignore
RJSCJowaiODH_JWA,0.00,Ignore
"RJSCJowaiODH_JWA Jowai",0.00,Ignore
RJSCKhliehriatMDH_KHL,0.00,Ignore
RJSCKohimaODH_KHM,0.00,Ignore
"RJSCKohimaODH_KHM Kohima",0.00,Ignore
"RJSCMatigaraSplitODH_IXB Matigara",0.00,Ignore
"RJSCMatigaraSplitODH_IXB2 Naxalbari",0.00,Ignore
"RJSCMawryngknengMDH_MAW Mawryngkneng",0.00,Ignore
RJSCMokokchungODH_MKK,0.00,Ignore
"RJSCNaharlagunODH_NHL Naharlagun",0.00,Ignore
"RJSCRangMahalODH_RGM Baihata",0.00,Ignore
RJSCShillongODH_SHL,0.00,Ignore
"RJSCShillongODH_SHL Shillong",0.00,Ignore
"RKL-TML, ROURKELA, ORISSA",0.00,Ignore
"Rksa ji ji store DEHRADUN",0.00,Ignore
"RNC/BRT-TML, Ranchi, JHARKHAND",0.00,Ignore
"RNC/DRW-TML, Ranchi, JHARKHAND",0.00,Ignore
"RNC/KDR, Ranchi, JHARKHAND",0.00,Ignore
"RNC/KKR, Ranchi, JHARKHAND",0.00,Ignore
"RNC/KNK, Ranchi, JHARKHAND",0.00,Ignore
"RNC/MBD-TML, Ranchi, JHARKHAND",0.00,Ignore
ROBERTGANJ,0.00,Ignore
Robertsganj,0.00,Ignore
"ROBERTSGANJ, Robertsganj, UTTAR PRADESH",0.00,Ignore
"RobertsganjHub_ROB Robertsganj",0.00,Ignore
"RockfortcityHub_TRZ Trichy",0.00,Ignore
"Rocks master kirana HYDERABAD",0.00,Ignore
"ROH/Dehri, ROHTAS, BIHAR",0.00,Ignore
Roha,0.00,Ignore
"RohaHub_RHA Roha",0.00,Ignore
"ROHINI (RHNI)",0.00,Ignore
"ROHINI ETAIL DELIVERIES",0.00,Ignore
"ROHINI SERVICE CENTRE",0.00,Ignore
Rohinihub_DEL,0.00,Ignore
"Rohinihub_DEL Delhi",0.00,Ignore
"Rohit Aggarwal GURGAON",0.00,Ignore
"Rohit enterprises PANVEL",0.00,Ignore
"Rohit Store NEW DELHI",0.00,Ignore
Rohru,0.00,Ignore
"Rohru, Rohru, HIMACHAL PRADESH",0.00,Ignore
RohruODH_ROH,0.00,Ignore
ROHTAK,0.00,Ignore
"Rohtak Hub",0.00,Ignore
"Rohtak Hub Rohtak",0.00,Ignore
"Rohtak, Haryana, IN",0.00,Ignore
"Romanchal Sahu BHAWANIPATNA",0.00,Ignore
"Ron, RON, KARNATAKA",0.00,Ignore
"Ronak Store ROURKELA",0.00,Ignore
"Ronit shop GURGAON",0.00,Ignore
"Roorkee, Roorkee, UTTARAKHAND",0.00,Ignore
"RoorkeeHub_HRD Roorkee",0.00,Ignore
ROPAR,0.00,Ignore
ROSERA,0.00,Ignore
"ROSERA, BIHAR, IN",0.00,Ignore
RoseraHub_ROA,0.00,Ignore
"Roshan enterprises GUNA",0.00,Ignore
"Roshani Goud BHAWANIPATNA",0.00,Ignore
"RoshanpurHub_MEE Meerut",0.00,Ignore
ROTS,0.00,Ignore
ROURKELA,0.00,Ignore
"Rourkela Hub",0.00,Ignore
"Rourkela, Odisha, IN",0.00,Ignore
"ROURKELA, ROURKELA, ORISSA",0.00,Ignore
RoyapuramHub_CHN,0.00,Ignore
"RPN, Roopnagar, PUNJAB",0.00,Ignore
"RPR/BHN, Raipur, CHHATTISGARH",0.00,Ignore
"RR District",0.00,Important
"RSC KOLASIB, Kolasib, MIZORAM",0.00,Ignore
"RSC/Anandpur Sahib, Anandpur Sahib, PUNJAB",0.00,Ignore
"RSC/Banswara, Banswara, RAJASTHAN",0.00,Ignore
"RSC/DHARMAPURI, Mancherial, TELANGANA",0.00,Ignore
"RSC/Farrukhabad, Farrukhabad, UTTAR PRADESH",0.00,Ignore
"RSC/Hanumangarh, Hanumangarh, RAJASTHAN",0.00,Ignore
"RSC/Jhunjhunu, Jhunjhunu, RAJASTHAN",0.00,Ignore
"RSC/Jind, JIND, HARYANA",0.00,Ignore
"RSC/Machilipatnam, Machilipatnam, ANDHRA PRADESH",0.00,Ignore
"RSC/Neemrana, Neemrana, RAJASTHAN",0.00,Ignore
"RSC/PUTHUPPALLY, Kottayam, KERALA",0.00,Ignore
"RSC/Rishikesh, Rishikesh, UTTARAKHAND",0.00,Ignore
"RSC/Siddipet, Siddipet, TELANGANA",0.00,Ignore
"RSC/Tarn Taran Sahib, Tarn Taran Sahib, PUNJAB",0.00,Ignore
"RSC/Tonk, Tonk, RAJASTHAN",0.00,Ignore
"RTNagar Hub",0.00,Ignore
"RTNagar Hub Bengaluru",0.00,Ignore
"RTO CPU KOLKATA",0.00,Ignore
"RTO CPU MUMBAI",0.00,Ignore
"RTO/AMD, Ahmedabad, GUJARAT",0.00,Ignore
"RTO/BRY, BANGALORE, KARNATAKA",0.00,Ignore
"RTO/CHD, BANGALORE, KARNATAKA",0.00,Ignore
"RTO/FC1, BANGALORE, KARNATAKA",0.00,Ignore
"RTO/MAT, BANGALORE, KARNATAKA",0.00,Ignore
"RTO/MAZ, Mumbai, MAHARASHTRA",0.00,Ignore
"RTO/MIR, Mumbai, MAHARASHTRA",0.00,Ignore
"RTO/MKH, Nelamangala, KARNATAKA",0.00,Ignore
"RTO/MLD, Mumbai, MAHARASHTRA",0.00,Ignore
"RTO/RJT, Jaipur, RAJASTHAN",0.00,Ignore
"RTO/VST, BANGALORE, KARNATAKA",0.00,Ignore
"Ruby store NEW DELHI",0.00,Ignore
"RudaigiriMDH_RUG Rudayagiri",0.00,Ignore
Rudayagiri,0.00,Ignore
"RUDRA ENTERPRISES RAIGARH(MH)",0.00,Ignore
RUDRAPRAYAG,0.00,Ignore
RUDRAPUR,0.00,Ignore
"RUDRAPUR HUB",0.00,Ignore
"Rudrapur Hub Rudrapur",0.00,Ignore
"Rudrapur, Rudrapur, UTTARAKHAND",0.00,Ignore
"RUDRUR, Bodhan, TELANGANA",0.00,Ignore
"Runni Saidpur",0.00,Ignore
"Rupam rathaur NEW DELHI",0.00,Ignore
"Rupana, Rupana, PUNJAB",0.00,Ignore
RUPNAGAR,0.00,Ignore
"Rupnagar Hub",0.00,Ignore
"Rupnagar Hub Rupnagar",0.00,Ignore
"Rupnarayanpur, Rupnarayanpur, WEST BENGAL",0.00,Ignore
Rupnarayanpurhub_ASN,0.00,Ignore
"RURA, UTTAR PRADESH, IN",0.00,Ignore
"Rushika Home HOSUR",0.00,Ignore
"S S SUPPLIERS AHMEDABAD",0.00,Ignore
"S T MANKAD",0.00,Ignore
"S. k Gupta Refrigeration u0026 maneesh GAUTAM BUDDHA NAGAR",0.00,Ignore
"Sachin DABRA",0.00,Ignore
Sadabad,0.00,Ignore
SadabadMDH_HTH,0.00,Ignore
"SadabadMDH_HTH Sadabad",0.00,Ignore
"Sadakat Rajpoot Kirana GAUTAM BUDDHA NAGAR",0.00,Ignore
"Sadulpur S.O",0.00,Ignore
"SAFDARJUNG ENCLAVE",0.00,Ignore
"Safidon HR, Safidon, HARYANA",0.00,Ignore
"Safiyabanu kirana DHARAMPUR",0.00,Ignore
SAGAR,0.00,Ignore
"SAGAR HOME MYSORE",0.00,Ignore
"Sagar, Sagar, MADHYA PRADESH",0.00,Ignore
"Sagarcity, Sagarcity, KARNATAKA",0.00,Ignore
SagarHub_SGR,0.00,Ignore
"SagarHub_SGR Sagar",0.00,Ignore
SagarpurHub_DEL,0.00,Ignore
SAGWARA,0.00,Ignore
"Sagwara, SAGWARA, RAJASTHAN",0.00,Ignore
"SagwaraMDH_SAG Sangwara",0.00,Ignore
"Saha Store SHYAMNAGAR",0.00,Ignore
"SahabadHub_AMB Ambala",0.00,Ignore
Saharanpur,0.00,Ignore
"Saharanpur Hub",0.00,Ignore
"Saharanpur Hub Saharanpur",0.00,Ignore
saharsa,0.00,Ignore
"SAHARSA OFFICE",0.00,Ignore
"SAHARSA, BIHAR, IN",0.00,Ignore
"Saharsa, Saharsa, BIHAR",0.00,Ignore
"Sahibabad Hub",0.00,Ignore
"Sahibabad Hub Ghaziabad",0.00,Ignore
"SAHIBABAD, UTTAR PRADESH, IN",0.00,Ignore
"Sahpura, Sahpura, RAJASTHAN",0.00,Ignore
"SAHRANPUR OFFICE",0.00,Ignore
"Sahson, SAHSON, UTTAR PRADESH",0.00,Ignore
"Sahtawar, Sahtawar, UTTAR PRADESH",0.00,Ignore
"Sai super laundry BELGAUM",0.00,Ignore
"Saibaba kiranam NIZAMABAD",0.00,Ignore
"Saidapura Satara, Saidapura Satara, MAHARASHTRA",0.00,Important
Saidpur,0.00,Ignore
"SaidpurHub_SDP Saidpur",0.00,Ignore
Saiha,0.00,Ignore
"Saintala, SAINTALA, ORISSA",0.00,Ignore
SAKALDIHA,0.00,Ignore
SAKET,0.00,Ignore
"SAKET  E-TAIL DELIVERY",0.00,Important
SaketHub_DEL,0.00,Ignore
"SaketHub_DEL Delhi",0.00,Ignore
"SakherBazar Hub",0.00,Ignore
"SakherBazar Hub Kolkata",0.00,Ignore
Sakhigopal,0.00,Ignore
"Sakhigopalhub_PUR Sakhigopal",0.00,Ignore
SakinakaSplitHub_MUM,0.00,Ignore
SAKLESHPUR,0.00,Ignore
"Sakthi Murugan Mobiles TIRUPUR",0.00,Ignore
"SAL/HUB, Salem, TAMIL NADU",0.00,Ignore
"Salar, Salar, WEST BENGAL",0.00,Ignore
"Salasar, Salasar, RAJASTHAN",0.00,Ignore
SalebhataODH_BLG,0.00,Ignore
"Saleem General Store BAGALKOT",0.00,Ignore
Salem,0.00,Ignore
"SALEM - SAL",0.00,Ignore
"SALEM HUB",0.00,Ignore
"Salem Hub Salem",0.00,Ignore
"SALEM MINI HUB",0.00,Ignore
"SalemMDH_SAL Salem",0.00,Ignore
"SALEMPUR LAR",0.00,Ignore
"SALEMPUR, UTTAR PRADESH, IN",0.00,Ignore
"Salempur1, SALEMPUR, UTTAR PRADESH",0.00,Ignore
"Salepur OR, Salepur OR, ORISSA",0.00,Ignore
"Salkia Hub",0.00,Ignore
"Salkia Hub Kolkata",0.00,Ignore
"Salmaben Store BODELI",0.00,Ignore
"Saltlake-TML, Kolkata, WEST BENGAL",0.00,Ignore
"Salumber, Salumber, RAJASTHAN",0.00,Ignore
SAMALKHA,0.00,Ignore
"Samalkot, Samalkot, ANDHRA PRADESH",0.00,Ignore
SAMANA,0.00,Ignore
"Samana, Patiala, PUNJAB",0.00,Ignore
"SAMASTIPUR OFFICE",0.00,Ignore
"Samastipur, BIHAR, IN",0.00,Ignore
SamaypurbadliHub_DEL,0.00,Ignore
"SamaypurbadliHub_DEL Gurugram",0.00,Ignore
"Samba, Samba, JAMMU AND KASHMIR",0.00,Ignore
Sambalpur,0.00,Ignore
"SAMBALPUR BDEL",0.00,Ignore
"Sambalpur, Odisha, IN",0.00,Ignore
"Sambalpur, Sambalpur, ORISSA",0.00,Ignore
"SambaODH_SMB Samba",0.00,Ignore
SAMBHAL,0.00,Ignore
"Sameer courier MUMBAI",0.00,Ignore
"SAMEER NEW DELHI",0.00,Ignore
"SAMIYARMADAM, samiyarmadam, TAMIL NADU",0.00,Ignore
"Samod, Chomu, RAJASTHAN",0.00,Ignore
SAMPLA,0.00,Ignore
"SampurnaNagarMDH_KHE Lakhimpur Kheri",0.00,Ignore
SAMRALA,0.00,Ignore
SamralaHub_SAM,0.00,Ignore
"SamralaHub_SAM SAMRALA",0.00,Ignore
"Samrudhi Enterprises PUNE",0.00,Ignore
SANAND,0.00,Ignore
"Sanand, Sanand, GUJARAT",0.00,Ignore
"SANASWADI, MAHARASHTRA, IN",0.00,Ignore
Sanathnagar1_HYD,0.00,Ignore
SANAUR,0.00,Ignore
SANAWAD,0.00,Ignore
"Sandeep Boutique HOSHIARPUR",0.00,Ignore
"Sandeep Kumar SIHORA",0.00,Ignore
"Sandeep Sisodiya Store NEW DELHI",0.00,Ignore
"Sandeep Tanwar kirana store SAHARANPUR",0.00,Ignore
"Sandhol, Sandhole, HIMACHAL PRADESH",0.00,Ignore
"Sandila, sandila, UTTAR PRADESH",0.00,Ignore
SandurHub_SND,0.00,Ignore
"SandurHub_SND Bellari",0.00,Ignore
"Sangamner, MAHARASHTRA, IN",0.00,Ignore
"SangamnerHub_SGM Sangamner",0.00,Ignore
SangamviharHub_DEL,0.00,Ignore
"SangamviharHub_DEL New Delhi",0.00,Ignore
SANGAREDDY,0.00,Ignore
"Sangareddy, TELANGANA, IN",0.00,Ignore
"SangareddyHub_SKP Sangareddy",0.00,Ignore
SANGHVI,0.00,Important
"Sangli Hub",0.00,Ignore
"Sangli Hub Sangli",0.00,Ignore
"Sangli, MAHARASHTRA, IN",0.00,Ignore
"Sangli, Veeta, MAHARASHTRA",0.00,Ignore
Sangrur,0.00,Ignore
"SANGRUR AREA OFFICE",0.00,Ignore
"Sangrur1, Sangrur, PUNJAB",0.00,Ignore
SangrurHub_SNR,0.00,Ignore
"SangrurHub_SNR Sangrur",0.00,Ignore
"SangrurHubtemp_SNR Sangrur",0.00,Ignore
SANGUEM,0.00,Ignore
SangviHub_Pune,0.00,Ignore
"SangviHub_Pune Pune",0.00,Ignore
Sangwara,0.00,Ignore
"Saniya Opticals NEW DELHI",0.00,Ignore
"Sanjauli, Sanjauli, HIMACHAL PRADESH",0.00,Ignore
"Sanjay mobile NEW DELHI",0.00,Ignore
"Sanjay store GURGAON",0.00,Ignore
"Sanjeev Kumar NEW DELHI",0.00,Ignore
"Sanju trading PANCHKULA",0.00,Ignore
"Sankagiri, Sankagiri, TAMIL NADU",0.00,Ignore
"Sankalp General store GURGAON",0.00,Ignore
"Sankar Traders PALLIPAT",0.00,Ignore
Sankara,0.00,Ignore
SANKARANKOIL,0.00,Ignore
Sankarapuram,0.00,Ignore
SankarapuramHub_SKP,0.00,Ignore
"SankarapuramHub_SKP Sankarapuram",0.00,Ignore
SANKARIDURG,0.00,Ignore
"Sankeshwar 1, Sankeshwar, KARNATAKA",0.00,Ignore
"Sankhla store NEW DELHI",0.00,Ignore
SANQUELIM,0.00,Ignore
"Sanquelim, Goa, GOA",0.00,Ignore
"SansargarhMDH_SGH Mohla",0.00,Ignore
"Sant Kabir Nagar",0.00,Ignore
SANTACRUZ,0.00,Ignore
"Santacruz Hub",0.00,Ignore
"Santacruz Hub Mumbai",0.00,Ignore
"Santacruz West, Mumbai, MAHARASHTRA",0.00,Ignore
"SANTHAMAGULURU, SANTHAMAGULURU, ANDHRA PRADESH",0.00,Ignore
"santhoshimatha master kirana KARIMNAGAR",0.00,Ignore
SANTINIKETAN,0.00,Ignore
"Santiniketan 1, BOLPUR, WEST BENGAL",0.00,Ignore
"Santipur1, Santipur, WEST BENGAL",0.00,Ignore
"SANTOSH NAGAR",0.00,Ignore
"Santosh Vilas Telore NASHIK",0.00,Ignore
"Santrampur, Santrampur, GUJARAT",0.00,Ignore
SantRavidasNagar,0.00,Ignore
Sanvordem,0.00,Ignore
"Sanvordem Hub",0.00,Ignore
"Sanvordem Hub Sanvordem",0.00,Ignore
"Sanwer, Sanwer, MADHYA PRADESH",0.00,Ignore
"Saoner, Saoner, MAHARASHTRA",0.00,Ignore
"SAPEKHATI, SAPEKHATI, ASSAM",0.00,Ignore
"Saphale, Saphale, MAHARASHTRA",0.00,Ignore
"Sapthagiri Hub",0.00,Ignore
"Sapthagiri Hub Tirupati",0.00,Ignore
"Saqib Communication NEW DELHI",0.00,Ignore
"SARABHAVARAM, YELESWARAM, ANDHRA PRADESH",0.00,Ignore
"Saraikela Kharswan, SARAIKELAKHARSWAN, JHARKHAND",0.00,Ignore
"Saraimeer, Saraimeer, UTTAR PRADESH",0.00,Ignore
"Saraipali, Basna, CHHATTISGARH",0.00,Ignore
Saraipalli,0.00,Ignore
"Saral Ashokkumar THARANGAMBADI",0.00,Ignore
Saran,0.00,Ignore
sarangarh,0.00,Ignore
"SarangarhMDH_SGH Sarangarh",0.00,Ignore
"SarangpurMDH_SAR Raigarh",0.00,Ignore
"Saranya Stores COIMBATORE",0.00,Ignore
Sarapaka,0.00,Ignore
"SARASWATI PROVISION KIRANA STORE BEED",0.00,Ignore
"Sarathbabi EAST GODAVARI",0.00,Ignore
"SARAVANA TILES SALEM",0.00,Ignore
"Saravanampatti / Coimbatore",0.00,Ignore
"SaravanampattiHub_CJB Saravanampatti / Coimbatore",0.00,Ignore
SARAVANAMPATTY,0.00,Ignore
SARBERA,0.00,Ignore
SARDARSAHAR,0.00,Ignore
"Sardarshahar, Sardarshahar, RAJASTHAN",0.00,Ignore
SARDHANA,0.00,Ignore
"SardhanaHub_SAR SARDHANA",0.00,Ignore
SarfabadNoidahub_DEL,0.00,Ignore
"SarfabadNoidahub_DEL Noida",0.00,Ignore
"Sargachi, Murshidabad, WEST BENGAL",0.00,Ignore
"Sargaon, Sargaon, CHHATTISGARH",0.00,Ignore
Sarigam,0.00,Ignore
"SARJAPUR ROAD",0.00,Ignore
Sarjapurhub_BLR,0.00,Ignore
"Sarjapurhub_BLR Bengaluru",0.00,Ignore
"SarjapursplitOSH_BLR Bangalore",0.00,Ignore
"Sarkaghat, Sarkaghat, HIMACHAL PRADESH",0.00,Ignore
SARNATH,0.00,Ignore
"Sarnath, VARANASI, UTTAR PRADESH",0.00,Ignore
"SARNATHHUB_VNS Varanasi",0.00,Ignore
SaroornagarHub_HYD,0.00,Ignore
"Saroya beauty zone HISAR",0.00,Ignore
"SarpakaMDH_BDM Sarapaka",0.00,Ignore
"SarpavaramHub_KKD Kakinada",0.00,Ignore
"Sartaj Store MUZAFFARNAGAR",0.00,Ignore
"SARTHEBARI, BARPETA, ASSAM",0.00,Ignore
Sarupathar,0.00,Ignore
SASAlathurODH_ALT,0.00,Ignore
"SASAlathurODH_ALT Alathur",0.00,Ignore
"SasanHub_KOL KOLKATA",0.00,Ignore
SASARAM,0.00,Ignore
"Sasaram, Sasaram, BIHAR",0.00,Ignore
"SASChallikereODH_CHL Challakere",0.00,Ignore
SASChemberiODH_CHE,0.00,Ignore
"SASChemberiODH_CHE KANNUR",0.00,Ignore
SASChembrasseriODH_CSR,0.00,Ignore
"SASChembrasseriODH_CSR Malappuram",0.00,Ignore
SASEdappalODH_EPP,0.00,Ignore
"SASEdappalODH_EPP Edappal",0.00,Ignore
SASKattappanaODH_KTP,0.00,Ignore
"SASKattappanaODH_KTP Kattappana",0.00,Ignore
SASKodungallurODH_KLL,0.00,Ignore
"SASKodungallurODH_KLL Kodungallur",0.00,Ignore
SASKundapurODH_KND,0.00,Ignore
"SASKundapurODH_KND Udupi",0.00,Ignore
SASKunhimangalamODH_KUN,0.00,Ignore
"SASKunhimangalamODH_KUN Payyanur",0.00,Ignore
"SASMadukkaraiODH_MKK Coimbatore",0.00,Ignore
SASMangalapuramODH_MNG,0.00,Ignore
"SASMangalapuramODH_MNG Mangalapuram",0.00,Ignore
"SASPattambiODH_PLM Pattambi",0.00,Ignore
SASPerinthalmannaODH_PNN,0.00,Ignore
"SASPerinthalmannaODH_PNN Perinthalmanna",0.00,Ignore
Sasthamcotta,0.00,Ignore
"SASTHAMCOTTA, sasthamkotta, KERALA",0.00,Ignore
"SASThuravoorODH_THO Thuravoor",0.00,Ignore
"SASUttarahalliODH_BLR Bangalore",0.00,Ignore
"SASVadakkencherryODH_VDY Palakkad",0.00,Ignore
"SASVaikomODH_VKM VAIKOM",0.00,Ignore
SASVellurTrikapurODH_VTR,0.00,Ignore
"SASVellurTrikapurODH_VTR Nileshwar",0.00,Ignore
SATARA,0.00,Ignore
"Satara, MAHARASHTRA, IN",0.00,Ignore
SATHIAMANGALAM,0.00,Ignore
"Sathish tea stall MADURAI",0.00,Ignore
"Sathupally, Sathupally, TELANGANA",0.00,Ignore
Sathyamangalam,0.00,Ignore
"SatighatHubSplit_BKR Bankura",0.00,Ignore
"Satish Kirana Store ROHTAK",0.00,Ignore
Satna,0.00,Ignore
"Satna, Satna, MADHYA PRADESH",0.00,Ignore
"SatnaHub_STA Satna",0.00,Ignore
sattenapalli,0.00,Ignore
"SATTENAPALLI REACH",0.00,Ignore
"Sattenapalli1, SATTENAPALLI, ANDHRA PRADESH",0.00,Ignore
SattenapalliHub_STN,0.00,Ignore
"SattenapalliHub_STN sattenapalli",0.00,Ignore
"Satyam coaching center KANNAUJ",0.00,Ignore
"Satyanarayana store JAIPUR",0.00,Ignore
"Sausar, Sausar, MADHYA PRADESH",0.00,Ignore
"Savanur, Lakshmeshwara, KARNATAKA",0.00,Ignore
SAVARKUNDLA,0.00,Ignore
"Savarkundla, Savarkundla, GUJARAT",0.00,Ignore
"Savita Gupta VASAI",0.00,Ignore
SAVNER,0.00,Ignore
"SAWAI MADHOPUR",0.00,Ignore
"SawaimadhopurHub_saw sawai madhopur",0.00,Ignore
"sawant store MUMBAI",0.00,Ignore
SAWANTWADI,0.00,Ignore
"SAYAJIGUNJ SERVICE CENTRE",0.00,Ignore
"Sayali Boutique NAGPUR",0.00,Ignore
"SayanMDH_SAY Surat",0.00,Ignore
"SB Store's VADODARA",0.00,Ignore
"SBP/BRA-TML, Sambalpur, ORISSA",0.00,Ignore
"SBP/HUB, Sambalpur, ORISSA",0.00,Ignore
"SD KIRANA PATIALA",0.00,Ignore
"SectorV Hub Kolkata",0.00,Ignore
SECUNDERABAD,0.00,Ignore
"SECUNDERABAD HUB",0.00,Important
"Secunderabad, TELANGANA, IN",0.00,Ignore
Secundrabad,0.00,Important
Sedam,0.00,Ignore
"SEDAM REACH",0.00,Ignore
"SedamHub_SEM Sedam",0.00,Ignore
"Seelanaikenpatti, Salem, TAMIL NADU",0.00,Ignore
SEEPZ,0.00,Ignore
"Sehaj beauty parlour NAWANSHAHR",0.00,Ignore
"SeharabazarMDH_SRB Burdwan",0.00,Ignore
SEHORE,0.00,Ignore
"Sehore, Madhya Pradesh, IN",0.00,Ignore
"Sehore, Sehore, MADHYA PRADESH",0.00,Ignore
SELAIYUR,0.00,Ignore
SELAQUI,0.00,Ignore
"SELAQUI, Dehradun, UTTARAKHAND",0.00,Ignore
SELU,0.00,Ignore
SEMBANARKOIL,0.00,Ignore
SEMBO,0.00,Ignore
"SENAPATI BAPAT ROAD",0.00,Ignore
SEONI,0.00,Ignore
"SEONI, MADHYA PRADESH, IN",0.00,Ignore
"Seoni, Seoni, MADHYA PRADESH",0.00,Ignore
"Seonimalwa, Seoni Malwa, MADHYA PRADESH",0.00,Ignore
"Serampore, Hooghly, WEST BENGAL",0.00,Ignore
"Sethi store NEW DELHI",0.00,Ignore
"Sevoke Road, SILIGURI, WEST BENGAL",0.00,Ignore
Sevoor,0.00,Ignore
"Sewla Kalan, Dehradun, UTTARAKHAND",0.00,Ignore
SewriHub_MUM,0.00,Ignore
"SewriHub_MUM Mumbai",0.00,Ignore
SHADNAGAR,0.00,Ignore
"Shadnagar1, SHADNAGAR, TELANGANA",0.00,Ignore
"ShadowFaxBabinaODH_JHS Babina",0.00,Ignore
"ShadowFaxBhawanigarhODH_BHA Bhawaigarh",0.00,Ignore
"ShadowFaxGhatkoparODH_MUM Mumbai",0.00,Ignore
"ShadowFaxGosabaMDH_GOS Gosaba",0.00,Ignore
ShadowFaxJulanaODH_JND,0.00,Ignore
"ShadowFaxJulanaODH_JND Jhulana",0.00,Ignore
"ShadowFaxKareraODH_KRA Karera",0.00,Ignore
"ShadowFaxMadhugiriMDH_MDG Madhugiri",0.00,Ignore
"ShadowFaxMudholODH_RCR Bagalkot",0.00,Ignore
"ShadowFaxMudigereMDH_MDI Chikmagalur",0.00,Ignore
"ShadowFaxMyorpurODH_SON Sonbhadra",0.00,Ignore
ShadowFaxNayagoanODH_NUG,0.00,Ignore
ShadowFaxSunamODH_SUN,0.00,Ignore
"ShadowFaxSunamODH_SUN Sunam",0.00,Ignore
"Shah Enterprises Goregaon MUMBAI",0.00,Ignore
"Shah Talai, Shah Talai, HIMACHAL PRADESH",0.00,Ignore
"SHAHABAD MARKANDA",0.00,Ignore
"Shahabad, SHAHABAD, HARYANA",0.00,Ignore
"Shahapur, Shahapur, KARNATAKA",0.00,Ignore
"Shahbad UP, Shahbad UP, UTTAR PRADESH",0.00,Ignore
ShahdaraHub_DEL,0.00,Ignore
"ShahdaraHub_DEL Delhi",0.00,Ignore
SHAHDOL,0.00,Ignore
"Shahdol, Shahdol, MADHYA PRADESH",0.00,Ignore
"ShahdolHub_SHD Shahdol",0.00,Ignore
Shahganj,0.00,Ignore
Shahjahanpur,0.00,Ignore
"Shahjahanpur, Shahijahanpur, UTTAR PRADESH",0.00,Ignore
"ShahjahanpurHub_SJH Shahjahanpur",0.00,Ignore
Shahjhanpur,0.00,Ignore
"Shahjhapur RJ, Shahjhapur RJ, RAJASTHAN",0.00,Ignore
"Shahnawaz NEW DELHI",0.00,Ignore
SHAHPUR,0.00,Ignore
"Shahpur Bhoura, SHAHPUR BHOURA, MADHYA PRADESH",0.00,Ignore
"Shahpur Chowk, DALTONGANJ, JHARKHAND",0.00,Ignore
"Shahpur JH, Shahpur JH, JHARKHAND",0.00,Ignore
"Shahpur, Shahpur, HIMACHAL PRADESH",0.00,Ignore
"Shaikh Absaar AURANGABAD",0.00,Ignore
"Shaikh Altaf VEJALPUR",0.00,Ignore
"SHAILESHBHAI NAGARBHAI JETAPARA SURENDRANAGAR",0.00,Ignore
SHAJAPUR,0.00,Ignore
"Shajapur, Shajapur, MADHYA PRADESH",0.00,Ignore
"SHAKTAWAT ENTERPRISES UDAIPUR",0.00,Ignore
"Shakti Nagar, Shakti Nagar, UTTAR PRADESH",0.00,Ignore
